Date,USDCNY_theta,USDBRL_theta,USDZAR_theta,USDRUB_theta,EURUSD_theta,USDJPY_theta,USDMXN_theta,USDCAD_theta,Total_theta
2017-07-26,0,0,0,0,-3.530253001,0,0,0,-3.530253001
2017-07-27,0,0,0,0,-7.262477827,0,0,0,-7.262477827
2017-07-28,0,0,0,0,-0.13756318,0,0,0,-0.13756318
2017-07-31,0,0,0,0,-1.14E-23,0,0,0,-1.14E-23
2017-08-01,0,0,0,0,-2057.228751,0,0,0,-2057.228751
2017-08-02,0,0,0,0,-1955.447596,0,0,0,-1955.447596
2017-08-03,0,0,0,0,-1898.604362,0,0,0,-1898.604362
2017-08-04,0,0,0,0,-1971.977504,0,0,0,-1971.977504
2017-08-07,0,0,0,0,-1880.845487,0,0,0,-1880.845487
2017-08-08,0,0,0,0,-1833.158946,0,0,0,-1833.158946
2017-08-09,0,0,0,0,-1806.310536,0,0,0,-1806.310536
2017-08-10,0,0,0,0,-1780.439399,0,0,0,-1780.439399
2017-08-11,0,0,0,0,-1727.269089,0,0,0,-1727.269089
2017-08-14,0,0,0,0,-1631.030594,0,0,0,-1631.030594
2017-08-15,0,0,0,0,-1538.270376,0,0,0,-1538.270376
2017-08-16,0,0,0,0,-1539.464008,0,0,0,-1539.464008
2017-08-17,0,0,0,0,-1413.561845,0,0,0,-1413.561845
2017-08-18,0,0,0,0,-1439.551679,0,0,0,-1439.551679
2017-08-21,0,0,0,0,-1287.054106,0,0,0,-1287.054106
2017-08-22,0,0,0,0,-1226.332234,0,0,0,-1226.332234
2017-08-23,0,0,0,0,-1176.009634,0,0,0,-1176.009634
2017-08-24,0,0,0,0,-1115.980401,0,0,0,-1115.980401
2017-08-25,0,0,0,0,-609.2711252,0,0,0,-609.2711252
2017-08-28,0,0,0,0,-92.04104843,0,0,0,-92.04104843
2017-08-29,0,0,0,0,-80.08885832,0,0,0,-80.08885832
2017-08-30,0,0,0,0,-216.2342859,0,0,0,-216.2342859
2017-08-31,0,0,0,0,-59.57440852,0,0,0,-59.57440852
2017-09-01,0,0,0,0,-1984.092751,0,0,0,-1984.092751
2017-09-04,0,0,0,0,-1850.71617,0,0,0,-1850.71617
2017-09-05,0,0,0,0,-1789.998951,0,0,0,-1789.998951
2017-09-06,0,0,0,0,-1749.243317,0,0,0,-1749.243317
2017-09-07,0,0,0,0,-1361.821598,0,0,0,-1361.821598
2017-09-08,0,0,0,0,-1264.114514,0,0,0,-1264.114514
2017-09-11,0,0,0,0,-1397.387439,0,0,0,-1397.387439
2017-09-12,0,0,0,0,-1290.142834,0,0,0,-1290.142834
2017-09-13,0,0,0,0,-1513.160747,0,0,0,-1513.160747
2017-09-14,0,0,0,0,-1411.770195,0,0,0,-1411.770195
2017-09-15,0,0,0,0,-1280.172383,0,0,0,-1280.172383
2017-09-18,0,0,0,0,-1084.52142,0,0,0,-1084.52142
2017-09-19,0,0,0,0,-878.2245529,0,0,0,-878.2245529
2017-09-20,0,0,0,0,-1129.408598,0,0,0,-1129.408598
2017-09-21,0,0,0,0,-880.0281502,0,0,0,-880.0281502
2017-09-22,0,0,0,0,-765.8400977,0,0,0,-765.8400977
2017-09-25,0,0,0,0,-800.1991605,0,0,0,-800.1991605
2017-09-26,0,0,0,0,-593.9719043,0,0,0,-593.9719043
2017-09-27,0,0,0,0,-210.4141351,0,0,0,-210.4141351
2017-09-28,0,0,0,0,-192.4110389,0,0,0,-192.4110389
2017-09-29,0,0,0,0,0,0,0,0,0
2017-10-02,0,0,0,0,-2053.078197,0,0,0,-2053.078197
2017-10-03,0,0,0,0,-1978.930909,0,0,0,-1978.930909
2017-10-04,0,0,0,0,-1929.990153,0,0,0,-1929.990153
2017-10-05,0,0,0,0,-1934.240701,0,0,0,-1934.240701
2017-10-06,0,0,0,0,-1898.301888,0,0,0,-1898.301888
2017-10-09,0,0,0,0,-1789.354681,0,0,0,-1789.354681
2017-10-10,0,0,0,0,-1601.683963,0,0,0,-1601.683963
2017-10-11,0,0,0,0,-1356.596342,0,0,0,-1356.596342
2017-10-12,0,0,0,0,-1428.414463,0,0,0,-1428.414463
2017-10-13,0,0,0,0,-1400.906483,0,0,0,-1400.906483
2017-10-16,0,0,0,0,-1345.593258,0,0,0,-1345.593258
2017-10-17,0,0,0,0,-1409.531126,0,0,0,-1409.531126
